sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
490,TCS-6032,Removing function extensionality — second record,"Parametricity, Automorphisms of the Universe, and Excluded Middle — Explicit open question on PDF page 3","Semantics, logic and verification",quarantined,duplicate,Otázku nutnosti funkční extensionality pro obrácenou implikaci stejné věty již obsahuje TCS-4461.,TCS-4461,TCS-4461,We do not know whether the converse direction of Theorem 1 is provable without function extensionality.,"Parametricity, Automorphisms of the Universe, and Excluded Middle",https://doi.org/10.4230/LIPIcs.TYPES.2016.7
491,TCS-6062,Input-bounded FIFO complexity with fixed channel count,Bounded Reachability Problems Are Decidable in FIFO Machines — Unresolved-question passage on page 14,"Semantics, logic and verification",quarantined,individual_review,Přidává pevný počet kanálů k balíku úloh již zastoupenému obecnějším TCS-3462; jde o další restrikční variantu.,,TCS-3462,What is the precise complexity of the five problems for input-bounded FIFO machines with a fixed number of channels?,Bounded Reachability Problems Are Decidable in FIFO Machines,https://doi.org/10.4230/LIPIcs.CONCUR.2020.49
492,TCS-6253,Infinite-horizon stochastic-game equilibria — second record,Probabilistic Model Checking for Strategic Equilibria-Based Decision Making: Advances and Challenges (Invited Talk) — Explicit open question on PDF page 8,"Semantics, logic and verification",quarantined,duplicate,Stejnou otázku existence rovnováh při nekonečném horizontu ze stejného přehledu již obsahuje TCS-2815.,TCS-2815,TCS-2815,"Furthermore, because we include infinite-horizon objectives, where the existence of NE is an open problem [7], we will in some cases use ε-NE, which do […]",Probabilistic Model Checking for Strategic Equilibria-Based Decision Making: Advances and Challenges (Invited Talk),https://doi.org/10.4230/LIPIcs.MFCS.2022.4
493,TCS-6261,MSO+U completeness background,Countdown μ-Calculus — Explicit open question on PDF page 2,"Semantics, logic and verification",quarantined,individual_review,"Výňatek popisuje známou definiční sílu logiky a začíná její důsledek, ale žádnou samostatnou otevřenou otázku neuvádí.",,,"Since MSO + U defines a Σ1n -complete language for every n < ω [12, Theorem 2.1], [15, Theorem 7], it follows that some MSO […]",Countdown μ-Calculus,https://doi.org/10.4230/LIPIcs.MFCS.2022.64
494,TCS-6384,Sup/inf-complete categorical embeddings,"Towards Concept Analysis in Categories: Limit Inferior as Algebra, Limit Superior as Coalgebra — Explicit open question on PDF page 1","Semantics, logic and verification",quarantined,individual_review,Abstraktní dokončení kategorií v jednom zobecnění konceptové analýzy nemá vymezený hlavní výpočetní cíl pro tento atlas.,,,It is an open problem whether there exists a sup- and inf-complete category A0000 with a sup- and inf-dense embedding A → − A0000 in […],"Towards Concept Analysis in Categories: Limit Inferior as Algebra, Limit Superior as Coalgebra",https://doi.org/10.4230/LIPIcs.CALCO.2015.130
495,TCS-6408,Optimal slimming of Petri boxes,Slimming down Petri Boxes: Compact Petri Net Models of Control Flows — Explicit open question on PDF page 12,"Semantics, logic and verification",quarantined,individual_review,Optimalizuje velikost jedné reprezentace control flow přes pomocný problém na cografech; obecná verifikace Petriho sítí má přednost.,,,"As was explained before, computing an optimal slimming is equivalent to solving peccp on a cograph – to our knowledge it is still an open […]",Slimming down Petri Boxes: Compact Petri Net Models of Control Flows,https://doi.org/10.4230/LIPIcs.CONCUR.2022.8
496,TCS-7155,Effective Diophantine bounds for recurrence algorithms,Make the relevant transcendental Diophantine-approximation bounds effective enough for recurrence decision procedures.,"Semantics, logic and verification",quarantined,individual_review,"Jde o široký návrh důkazové cesty bez jedné konkrétní efektivní nerovnosti; samotné Skolem, Positivity a termination problémy zůstávají.",,,Make the relevant transcendental Diophantine-approximation bounds effective enough for recurrence decision procedures.,On Linear Recurrence Sequences and Loop Termination,https://people.mpi-sws.org/~joel/publications/lrs-survey15abs.html
497,TCS-1175,Index-based pivot rules with many memory states,Is there a super-polynomial lower bound on the running time of index-based pivot rules when at least Ω(n/ log n) memory states are available?,Optimization and numerics,quarantined,individual_review,Dolní mez je vázána na konkrétní paměťově omezenou rodinu pivotovacích pravidel; obecný polynomiální simplex zůstává hlavní otázkou.,,,Is there a super-polynomial lower bound on the running time of index-based pivot rules when at least Ω(n/ log n) memory states are available?,Lower Bounds for Ranking-Based Pivot Rules,https://doi.org/10.4230/LIPIcs.STACS.2026.31
498,TCS-1219,A 3/2-competitive incremental vertex cover on forests,There exists an integral 3/2-competitive algorithm for incremental vertex cover on forests.,Optimization and numerics,quarantined,individual_review,Přesný faktor pro lesy a inkrementální vstup je úzká online varianta; hlavní obecné vertex-cover a online optimalizační bariéry mají přednost.,,,There exists an integral 3/2-competitive algorithm for incremental vertex cover on forests.,Online and Incremental Fractional Vertex Cover on Trees,https://doi.org/10.4230/LIPIcs.ESA.2026.158
499,TCS-1267,Greedy packet forwarding on a line,"5 Open Problem We conjecture that Greedy has a constant competitive ratio, possibly 2, for online packet routing even when packet lengths are unbounded.",Optimization and numerics,quarantined,individual_review,Konstantní konkurenceschopnost jednoho greedy postupu při neomezené délce paketů je optimalita konkrétní heuristiky ve specifické síti.,,,"5 Open Problem We conjecture that Greedy has a constant competitive ratio, possibly 2, for online packet routing even when packet lengths are unbounded.",Forwarding Packets Greedily on the Line,https://doi.org/10.4230/LIPIcs.MFCS.2026.42
500,TCS-1362,Conditions for efficient bilinear saddle-point solving,"On the other hand, one question we leave open for future work is under what conditions we can efficiently solve the bilinear saddle-point problem in […]",Optimization and numerics,quarantined,individual_review,"Hledá vhodné podmínky pro subrutinu swap-regret algoritmu, ale neurčuje konkrétní hlavní třídu ani mez.",,,"On the other hand, one question we leave open for future work is under what conditions we can efficiently solve the bilinear saddle-point problem in […]",Swap Regret Minimization Through Response-Based Approachability,https://proceedings.mlr.press/v336/anagnostides26a.html
501,TCS-1394,Optimality across FTPL perturbation schemes,Whether this rate is tight for F TPL introduced by any perturbation scheme remains an open question.,Optimization and numerics,quarantined,individual_review,Porovnává dosažitelné rychlosti uvnitř jedné algoritmické rodiny; obecný minimaxový regret má větší samostatný dosah.,,,Whether this rate is tight for F TPL introduced by any perturbation scheme remains an open question.,Self-Concordant Perturbations for Linear Bandits,https://proceedings.mlr.press/v336/levy26a.html
502,TCS-1416,Adversarial min-prophet with few expected choices,"Does there exist an algorithm for adversarial order that achieves a constant competitive ratio with O(min{ln ln M, lnnn }) choices in expectation?",Optimization and numerics,quarantined,individual_review,"Počet výběrů, adversariální pořadí a minimální prophet cíl vytvářejí velmi specifický kompromis online modelu.",,,"Does there exist an algorithm for adversarial order that achieves a constant competitive ratio with O(min{ln ln M, lnnn }) choices in expectation?",Multi Choice Min Prophet,https://doi.org/10.4230/LIPIcs.ESA.2026.55
503,TCS-1810,Online base packing without knowing f(N),Is it possible to achieve polylogarithmic competitive ratio without knowledge of f (N )?,Optimization and numerics,quarantined,individual_review,Rozšiřuje algoritmus po odstranění jedné předchozí informace; hlavní online matroidové a stromové balicí problémy mají přednost.,,,Is it possible to achieve polylogarithmic competitive ratio without knowledge of f (N )?,Online Disjoint Spanning Trees and Polymatroid Bases,https://doi.org/10.4230/LIPIcs.ICALP.2025.44
504,TCS-1919,Loopless metabolic flux analysis with enzyme constraints,"This opens the interesting question of their tractability: under suitable assumptions, is the ll-FBA with enzyme constraints hard?",Optimization and numerics,quarantined,individual_review,Konkrétní biologický optimalizační model navíc ponechává předpoklady neurčené; nevymezuje hlavní obecnou optimalizační bariéru.,,,"This opens the interesting question of their tractability: under suitable assumptions, is the ll-FBA with enzyme constraints hard?",Mixed-Integer Optimization for Loopless Flux Distributions in Metabolic Networks,https://doi.org/10.4230/LIPIcs.SEA.2025.26
505,TCS-2086,Competitive bounds for a weighted-k-server subproblem,We do not know any non-trivial bounds on the competitive ratio of WkS-SPC and it is not even clear whether it is easier or harder […],Optimization and numerics,quarantined,individual_review,Pomocný dekompoziční model má nižší prioritu než samotný weighted k-server a rozdíl mezi náhodnými a deterministickými algoritmy.,,,We do not know any non-trivial bounds on the competitive ratio of WkS-SPC and it is not even clear whether it is easier or harder […],A Decomposition Approach to the Weighted k-Server Problem,https://doi.org/10.4230/LIPIcs.FSTTCS.2024.6
